,p,rho,Method,Estimator&Signal,Average MSE
76,50,0.25,BIC,Adaptive Lasso Sparse,0.0961948046143358
77,50,0.25,LOO-CV,Adaptive Lasso Sparse,0.0495932357872157
78,50,0.5,AIC,Adaptive Lasso Sparse,0.125042521109928
79,50,0.5,BIC,Adaptive Lasso Sparse,0.1513573184200302
80,50,0.5,LOO-CV,Adaptive Lasso Sparse,0.0795563497681952
81,10,0.0,AIC,Adaptive Lasso Dense,0.0687630758276579
82,10,0.0,BIC,Adaptive Lasso Dense,0.0694655063810537
83,10,0.0,LOO-CV,Adaptive Lasso Dense,0.0686357613215657
84,10,0.25,AIC,Adaptive Lasso Dense,0.0924941375632581
85,10,0.25,BIC,Adaptive Lasso Dense,0.0935768741424912
86,10,0.25,LOO-CV,Adaptive Lasso Dense,0.0922574269800926
87,10,0.5,AIC,Adaptive Lasso Dense,0.1299019583980032
88,10,0.5,BIC,Adaptive Lasso Dense,0.1317102865915802
89,10,0.5,LOO-CV,Adaptive Lasso Dense,0.1293020139482632
90,25,0.0,AIC,Adaptive Lasso Dense,0.0622437210901415
91,25,0.0,BIC,Adaptive Lasso Dense,0.0770759236699925
92,25,0.0,LOO-CV,Adaptive Lasso Dense,0.0594362948414118
93,25,0.25,AIC,Adaptive Lasso Dense,0.085660237992829
94,25,0.25,BIC,Adaptive Lasso Dense,0.10210454171644
95,25,0.25,LOO-CV,Adaptive Lasso Dense,0.0808504686138913
96,25,0.5,AIC,Adaptive Lasso Dense,0.1248683636609508
97,25,0.5,BIC,Adaptive Lasso Dense,0.1416718417873101
98,25,0.5,LOO-CV,Adaptive Lasso Dense,0.1171736927493566
99,50,0.0,AIC,Adaptive Lasso Dense,0.0543336750338848
100,50,0.0,BIC,Adaptive Lasso Dense,0.086659102931987
101,50,0.0,LOO-CV,Adaptive Lasso Dense,0.0409932773676472
102,50,0.25,AIC,Adaptive Lasso Dense,0.0772986309104647
103,50,0.25,BIC,Adaptive Lasso Dense,0.1172592238521883
104,50,0.25,LOO-CV,Adaptive Lasso Dense,0.0570465971484781
105,50,0.5,AIC,Adaptive Lasso Dense,0.1107938067225318
106,50,0.5,BIC,Adaptive Lasso Dense,0.156036596010515
107,50,0.5,LOO-CV,Adaptive Lasso Dense,0.0814171955540164
108,10,0.0,AIC,Ridge Sparse,0.0283564923570295
109,10,0.0,BIC,Ridge Sparse,0.0283566574647145
110,10,0.25,AIC,Ridge Sparse,0.0410356099438215
111,10,0.25,BIC,Ridge Sparse,0.0410364707722439
112,10,0.5,AIC,Ridge Sparse,0.0582184015327518
113,10,0.5,BIC,Ridge Sparse,0.0582276170651652
114,25,0.0,AIC,Ridge Sparse,0.0352539205531387
115,25,0.0,BIC,Ridge Sparse,0.0352564612501253
116,25,0.25,AIC,Ridge Sparse,0.0537684731960561
117,25,0.25,BIC,Ridge Sparse,0.0537813294034544
118,25,0.5,AIC,Ridge Sparse,0.0829644829394233
119,25,0.5,BIC,Ridge Sparse,0.0830640125151847
120,50,0.0,AIC,Ridge Sparse,0.0310860395548136
121,50,0.0,BIC,Ridge Sparse,0.0311174724790039
122,50,0.25,AIC,Ridge Sparse,0.0481401554547151
123,50,0.25,BIC,Ridge Sparse,0.048245817684643
124,50,0.5,AIC,Ridge Sparse,0.0776246111437544
125,50,0.5,BIC,Ridge Sparse,0.0780918850280367
126,10,0.0,LOO-CV,Ridge Sparse,0.0284085114435361
127,10,0.25,LOO-CV,Ridge Sparse,0.0406762556327605
128,10,0.5,LOO-CV,Ridge Sparse,0.0583160675443559
129,25,0.0,LOO-CV,Ridge Sparse,0.0356154408793501
130,25,0.25,LOO-CV,Ridge Sparse,0.053443078484835
131,25,0.5,LOO-CV,Ridge Sparse,0.0824493176931786
132,50,0.0,LOO-CV,Ridge Sparse,0.0308622694164785
133,50,0.25,LOO-CV,Ridge Sparse,0.048893950533055
134,50,0.5,LOO-CV,Ridge Sparse,0.0782755942894107
135,10,0.0,AIC,Ridge Dense,0.0688492422633345
136,10,0.0,BIC,Ridge Dense,0.0688496469113973
137,10,0.25,AIC,Ridge Dense,0.092749817367798
138,10,0.25,BIC,Ridge Dense,0.0927514766803401
139,10,0.5,AIC,Ridge Dense,0.1308516068194291
140,10,0.5,BIC,Ridge Dense,0.1308686330888019
141,25,0.0,AIC,Ridge Dense,0.058954633845165
142,25,0.0,BIC,Ridge Dense,0.0589587829606674
143,25,0.25,AIC,Ridge Dense,0.0808141426346494
144,25,0.25,BIC,Ridge Dense,0.080830196088756
145,25,0.5,AIC,Ridge Dense,0.1171049000187537
146,25,0.5,BIC,Ridge Dense,0.117223379700194
147,50,0.0,AIC,Ridge Dense,0.0397609014378388
148,50,0.0,BIC,Ridge Dense,0.0398012998008116
149,50,0.25,AIC,Ridge Dense,0.0539968424563055
150,50,0.25,BIC,Ridge Dense,0.0541016603256078
151,50,0.5,AIC,Ridge Dense,0.0779380663715807
152,50,0.5,BIC,Ridge Dense,0.0783681093001755
153,10,0.0,LOO-CV,Ridge Dense,0.0687039083545908
154,10,0.25,LOO-CV,Ridge Dense,0.0915942338030275
155,10,0.5,LOO-CV,Ridge Dense,0.1312734561968788
156,25,0.0,LOO-CV,Ridge Dense,0.0587113599618853
157,25,0.25,LOO-CV,Ridge Dense,0.0808655066784481
158,25,0.5,LOO-CV,Ridge Dense,0.1145313235173275
159,50,0.0,LOO-CV,Ridge Dense,0.0395034084381875
160,50,0.25,LOO-CV,Ridge Dense,0.0534131665383459
161,50,0.5,LOO-CV,Ridge Dense,0.0797441258455566
162,10,0.0,AIC,Adaptive Ridge Sparse,0.13290775892485024
163,10,0.0,BIC,Adaptive Ridge Sparse,0.13290775892485024
164,10,0.25,AIC,Adaptive Ridge Sparse,0.19111221371208417
165,10,0.25,BIC,Adaptive Ridge Sparse,0.19111221371208417
166,10,0.5,AIC,Adaptive Ridge Sparse,0.27214178953473556
167,10,0.5,BIC,Adaptive Ridge Sparse,0.27214178953473556
168,25,0.0,AIC,Adaptive Ridge Sparse,0.19773620831376226
169,25,0.0,BIC,Adaptive Ridge Sparse,0.19773620831376226
170,25,0.25,AIC,Adaptive Ridge Sparse,0.29592737747938386
171,25,0.25,BIC,Adaptive Ridge Sparse,0.29592737747938386
172,25,0.5,AIC,Adaptive Ridge Sparse,0.45225410767483926
173,25,0.5,BIC,Adaptive Ridge Sparse,0.45225410767483926
174,50,0.0,AIC,Adaptive Ridge Sparse,0.26011802315864385
175,50,0.0,BIC,Adaptive Ridge Sparse,0.26011802315864385
176,50,0.25,AIC,Adaptive Ridge Sparse,0.3997763380468953
177,50,0.25,BIC,Adaptive Ridge Sparse,0.3997763380468953
178,50,0.5,AIC,Adaptive Ridge Sparse,0.6210912309269156
179,50,0.5,BIC,Adaptive Ridge Sparse,0.6210912309269156
180,10,0.0,LOO-CV,Adaptive Ridge Sparse,0.133627121569875
181,10,0.25,LOO-CV,Adaptive Ridge Sparse,0.1909761563181386
182,10,0.5,LOO-CV,Adaptive Ridge Sparse,0.269515658733021
183,25,0.0,LOO-CV,Adaptive Ridge Sparse,0.19758144186776638
184,25,0.25,LOO-CV,Adaptive Ridge Sparse,0.2960655497027128
185,25,0.5,LOO-CV,Adaptive Ridge Sparse,0.45236534603479933
186,50,0.0,LOO-CV,Adaptive Ridge Sparse,0.2592963418662467
187,50,0.25,LOO-CV,Adaptive Ridge Sparse,0.3971946373312668
188,50,0.5,LOO-CV,Adaptive Ridge Sparse,0.612779548330158
189,10,0.0,AIC,Adaptive Ridge Dense,0.22852984724891132
190,10,0.0,BIC,Adaptive Ridge Dense,0.22852984724891132
191,10,0.25,AIC,Adaptive Ridge Dense,0.3240141341423454
192,10,0.25,BIC,Adaptive Ridge Dense,0.3240141341423454
193,10,0.5,AIC,Adaptive Ridge Dense,0.4829284805005878
194,10,0.5,BIC,Adaptive Ridge Dense,0.4829284805005878
195,25,0.0,AIC,Adaptive Ridge Dense,0.24282901405482604
196,25,0.0,BIC,Adaptive Ridge Dense,0.24282901405482604
197,25,0.25,AIC,Adaptive Ridge Dense,0.34675946376063527
198,25,0.25,BIC,Adaptive Ridge Dense,0.34675946376063527
199,25,0.5,AIC,Adaptive Ridge Dense,0.5218414121986094
200,25,0.5,BIC,Adaptive Ridge Dense,0.5218414121986094
201,50,0.0,AIC,Adaptive Ridge Dense,0.2466753819904896
202,50,0.0,BIC,Adaptive Ridge Dense,0.2466753819904896
203,50,0.25,AIC,Adaptive Ridge Dense,0.35205192396985946
204,50,0.25,BIC,Adaptive Ridge Dense,0.35205192396985946
205,50,0.5,AIC,Adaptive Ridge Dense,0.5187250267612996
206,50,0.5,BIC,Adaptive Ridge Dense,0.5187250267612996
207,10,0.0,LOO-CV,Adaptive Ridge Dense,0.22975536552568718
208,10,0.25,LOO-CV,Adaptive Ridge Dense,0.3261921549998127
209,10,0.5,LOO-CV,Adaptive Ridge Dense,0.48200031886038164
210,25,0.0,LOO-CV,Adaptive Ridge Dense,0.24326688298353638
211,25,0.25,LOO-CV,Adaptive Ridge Dense,0.3484308511748398
212,25,0.5,LOO-CV,Adaptive Ridge Dense,0.5207748991103942
213,50,0.0,LOO-CV,Adaptive Ridge Dense,0.24620892202424688
214,50,0.25,LOO-CV,Adaptive Ridge Dense,0.3504464136915196
215,50,0.5,LOO-CV,Adaptive Ridge Dense,0.5186504737189745
