,p,rho,Method,Estimator&Signal,Average MSE
44,25,0.5,LOO-CV,Lasso Dense,0.1250375929220888
45,50,0.0,AIC,Lasso Dense,0.0551095915510962
46,50,0.0,BIC,Lasso Dense,0.0880821204074036
47,50,0.0,LOO-CV,Lasso Dense,0.0577808085105555
48,50,0.25,AIC,Lasso Dense,0.0768687198304167
49,50,0.25,BIC,Lasso Dense,0.1154633516079306
50,50,0.25,LOO-CV,Lasso Dense,0.0789836156218677
51,50,0.5,AIC,Lasso Dense,0.112031934928073
52,50,0.5,BIC,Lasso Dense,0.1575887807810057
53,50,0.5,LOO-CV,Lasso Dense,0.113290018102165
54,10,0.0,AIC,Adaptive Lasso Sparse,0.0289039603170757
55,10,0.0,BIC,Adaptive Lasso Sparse,0.0302707640018913
56,10,0.0,LOO-CV,Adaptive Lasso Sparse,0.0281521159670349
57,10,0.25,AIC,Adaptive Lasso Sparse,0.0416119392452588
58,10,0.25,BIC,Adaptive Lasso Sparse,0.0432445139772768
59,10,0.25,LOO-CV,Adaptive Lasso Sparse,0.0404141484066912
60,10,0.5,AIC,Adaptive Lasso Sparse,0.059910492891609
61,10,0.5,BIC,Adaptive Lasso Sparse,0.0620934909950613
62,10,0.5,LOO-CV,Adaptive Lasso Sparse,0.0580085148017607
63,25,0.0,AIC,Adaptive Lasso Sparse,0.0400879079987389
64,25,0.0,BIC,Adaptive Lasso Sparse,0.0460274205445106
65,25,0.0,LOO-CV,Adaptive Lasso Sparse,0.0355301167102656
66,25,0.25,AIC,Adaptive Lasso Sparse,0.0610562400628266
67,25,0.25,BIC,Adaptive Lasso Sparse,0.0691325925375705
68,25,0.25,LOO-CV,Adaptive Lasso Sparse,0.0533917023695676
69,25,0.5,AIC,Adaptive Lasso Sparse,0.0956593202540567
70,25,0.5,BIC,Adaptive Lasso Sparse,0.1055349418287193
71,25,0.5,LOO-CV,Adaptive Lasso Sparse,0.0827399836206988
72,50,0.0,AIC,Adaptive Lasso Sparse,0.0475500973267294
73,50,0.0,BIC,Adaptive Lasso Sparse,0.0620143418064178
74,50,0.0,LOO-CV,Adaptive Lasso Sparse,0.0320455174442678
75,50,0.25,AIC,Adaptive Lasso Sparse,0.0756676376874056
76,50,0.25,BIC,Adaptive Lasso Sparse,0.0961948046143358
77,50,0.25,LOO-CV,Adaptive Lasso Sparse,0.0495932357872157
78,50,0.5,AIC,Adaptive Lasso Sparse,0.125042521109928
